POPinfo(surf=2, peakIrr=0.025501, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=5.0, pilotWaist=5.0, pos=0.963829, rayleigh=98174.8, gridX=512, gridY=512, widthX=20.000256, widthY=20.000256)
POPinfo(surf=7, peakIrr=0.025499, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=5.00008, pilotWaist=5.0, pos=-541.964, rayleigh=98174.8, gridX=512, gridY=512, widthX=20.000256, widthY=20.000256)
POPinfo(surf=11, peakIrr=0.025678, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=4.98248, pilotWaist=0.0289278, pos=565.996, rayleigh=3.28618, gridX=512, gridY=512, widthX=19.9296, widthY=19.9296)
POPinfo(surf=13, peakIrr=3.4623, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=0.432277, pilotWaist=0.0289278, pos=48.9963, rayleigh=3.28618, gridX=512, gridY=512, widthX=1.7252352, widthY=1.7252352)
POPinfo(surf=15, peakIrr=0.037529, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=4.11988, pilotWaist=0.0289278, pos=-468.004, rayleigh=3.28618, gridX=512, gridY=512, widthX=16.479232, widthY=16.479232)
POPinfo(surf=17, peakIrr=0.0084721, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.67091, pilotWaist=0.0289278, pos=-985.004, rayleigh=3.28618, gridX=512, gridY=512, widthX=34.683392, widthY=34.683392)
POPinfo(surf=24, peakIrr=0.0036442, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=13.222, pilotWaist=0.0289278, pos=1502.0, rayleigh=3.28618, gridX=512, gridY=512, widthX=52.8896, widthY=52.8896)
POPinfo(surf=28, peakIrr=0.0031977, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=14.1139, pilotWaist=10.3682, pos=-389900.0, rayleigh=422150.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=30, peakIrr=0.0032043, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=14.1011, pilotWaist=10.3682, pos=-389129.0, rayleigh=422150.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=32, peakIrr=0.0032099, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=14.0882, pilotWaist=10.3682, pos=-388359.0, rayleigh=422150.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=34, peakIrr=0.0032164, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=14.0754, pilotWaist=10.3682, pos=-387588.0, rayleigh=422150.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=40, peakIrr=0.0032231, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=14.0626, pilotWaist=10.3682, pos=386818.0, rayleigh=422150.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
