POPinfo(surf=2, peakIrr=0.070734, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=3.0, pilotWaist=3.0, pos=0.0, rayleigh=35342.9, gridX=512, gridY=512, widthX=20.000256, widthY=20.000256)
POPinfo(surf=7, peakIrr=0.070717, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=3.00035, pilotWaist=3.0, pos=-541.0, rayleigh=35342.9, gridX=512, gridY=512, widthX=20.000256, widthY=20.000256)
POPinfo(surf=11, peakIrr=0.071212, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=2.98983, pilotWaist=0.048213, pos=565.997, rayleigh=9.12828, gridX=512, gridY=512, widthX=19.9296, widthY=19.9296)
POPinfo(surf=13, peakIrr=9.2283, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=0.263239, pilotWaist=0.048213, pos=48.9965, rayleigh=9.12828, gridX=512, gridY=512, widthX=1.7252352, widthY=1.7252352)
POPinfo(surf=15, peakIrr=0.10404, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=2.47234, pilotWaist=0.048213, pos=-468.004, rayleigh=9.12828, gridX=512, gridY=512, widthX=16.479232, widthY=16.479232)
POPinfo(surf=17, peakIrr=0.023501, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=5.20274, pilotWaist=0.048213, pos=-985.004, rayleigh=9.12828, gridX=512, gridY=512, widthX=34.683392, widthY=34.683392)
POPinfo(surf=24, peakIrr=0.010108, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=7.93332, pilotWaist=0.048213, pos=1502.0, rayleigh=9.12828, gridX=512, gridY=512, widthX=52.8896, widthY=52.8896)
POPinfo(surf=28, peakIrr=0.0088709, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.46845, pilotWaist=8.02397, pos=-85313.5, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=30, peakIrr=0.0088885, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.46066, pilotWaist=8.02397, pos=-84543.0, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=32, peakIrr=0.0089059, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.45294, pilotWaist=8.02397, pos=-83772.5, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=34, peakIrr=0.0089232, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.44528, pilotWaist=8.02397, pos=-83002.0, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=40, peakIrr=0.0089405, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.43769, pilotWaist=8.02397, pos=82231.5, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=42, peakIrr=0.0089744, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.42279, pilotWaist=8.02397, pos=80701.3, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=44, peakIrr=0.0090079, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.40815, pilotWaist=8.02397, pos=79171.0, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=46, peakIrr=0.0090407, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.39377, pilotWaist=8.02397, pos=77640.8, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=52, peakIrr=0.009074, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.37964, pilotWaist=8.02397, pos=-76110.5, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=54, peakIrr=0.0090835, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.37505, pilotWaist=8.02397, pos=-75607.4, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=56, peakIrr=0.0090951, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.37049, pilotWaist=8.02397, pos=-75104.4, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=58, peakIrr=0.0091056, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.36596, pilotWaist=8.02397, pos=-74601.3, rayleigh=252836.0, gridX=512, gridY=512, widthX=56.45312, widthY=56.45312)
POPinfo(surf=63, peakIrr=0.0091215, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=8.35873, pilotWaist=0.187533, pos=-6154.14, rayleigh=138.106, gridX=512, gridY=512, widthX=56.43776, widthY=56.43776)
POPinfo(surf=68, peakIrr=0.010368, totPow=1.0, fibEffSys=None, fibEffRec=None, coupling=None, pilotSize=7.84056, pilotWaist=0.187533, pos=5772.44, rayleigh=138.106, gridX=512, gridY=512, widthX=52.93568, widthY=52.93568)
