50,14
Type,Density,ReflFactor,nd,RefThick,BubbleClass,StainResistFR,AcidResistSR,AlkaliResistAR,Tg,CTEmin30plus70,CTEplus20plus300,TempCoeff,Remarks
UG1,2.77,0.91,1.54,1,1,0,1,1,603,7.9,8.9,NaN,Ultraviolet-Transmitting Black Glass
UG5,2.85,0.91,1.54,1,2,0,3,2,462,8.1,9.4,NaN,Ultraviolet-Transmitting Black Glass
UG11,2.92,0.91,1.56,1,2,0,3,2.2,545,7.8,9,NaN,Ultraviolet-Transmitting Black Glass
BG3,2.56,0.92,1.51,1,1,0,1,1,478,8.8,10.2,NaN,Blue-Violet Glass Transmitting Ultraviolet and Red
BG7,2.61,0.92,1.52,1,1,0,1,1,468,8.5,9.9,NaN,Blue Glass Absorbing Red
BG18,2.68,0.91,1.54,1,2,0,2,2,482,7.4,8.8,NaN,Blue-Green Glass Absorbing Red
BG25,2.56,0.92,1.51,1,1,0,1,1,487,8.7,10.1,NaN,Blue Glass Absorbing Red
BG36,3.59,0.88,1.69,1,3,1,52.2,1.2,657,6.1,7.2,NaN,Didymium Multiband Glass
BG38,2.66,0.92,1.53,1,2,0,2,2,482,7.5,8.9,NaN,Blue-Green Glass Absorbing Red
BG39,2.74,0.91,1.54,1,2,0,5.1,3,322,11.6,13.1,NaN,Blue-Green Glass Absorbing Red
BG40,2.74,0.92,1.53,1,2,0,5.1,3,313,11.9,13.7,NaN,Blue-Green Glass Absorbing Red
BG42,2.69,0.91,1.54,1,2,0,2,2,475,7.3,8.7,NaN,Blue-Green Glass Absorbing Red
VG9,2.87,0.91,1.55,1,1,0,1,1,462,9.2,10.6,NaN,Green Glass
GG395,2.55,0.92,1.52,3,3,0,1,1,538,7.8,9,0.07,Colourless Glass with Sharp UV Cut
GG400,2.55,0.92,1.52,3,3,0,1,1,537,7.9,9.1,0.07,Sharp Cut Yellow Glass
GG420,2.55,0.92,1.52,3,3,0,1,1,535,7.8,9,0.07,Sharp Cut Yellow Glass
GG435,2.55,0.92,1.52,3,3,0,1,1,537,7.8,9.1,0.08,Sharp Cut Yellow Glass
GG455,2.56,0.92,1.52,3,3,0,1,1,529,8.2,9.5,0.09,Sharp Cut Yellow Glass
GG475,2.56,0.92,1.52,3,3,0,1,1,531,8.2,9.4,0.09,Sharp Cut Yellow Glass
GG495,2.56,0.92,1.52,3,3,0,1,1,535,8.1,9.4,0.1,Sharp Cut Yellow Glass
OG515,2.56,0.92,1.51,3,3,0,1,1,509,7.9,9,0.11,Sharp Cut Orange Glass
OG530,2.56,0.92,1.51,3,3,0,1,1,506,7.9,9,0.11,Sharp Cut Orange Glass
OG550,2.56,0.92,1.51,3,3,0,1,1,507,7.9,9,0.12,Sharp Cut Orange Glass
OG570,2.56,0.92,1.51,3,3,0,1,1,510,7.9,9,0.12,Sharp Cut Orange Glass
OG590,2.56,0.92,1.51,3,3,0,1,1,506,7.9,9,0.13,Sharp Cut Orange Glass
RG9,2.58,0.92,1.52,3,3,0,1,1,519,7.9,9,0.06,Sharp Cut Infrared-Transmitting Black Glass
RG610,2.65,0.92,1.52,3,3,0,1,1,520,8,9.2,0.14,Sharp Cut Red Glass
RG630,2.65,0.92,1.52,3,3,0,1,1,527,8,9.2,0.14,Sharp Cut Red Glass
RG645,2.65,0.92,1.52,3,3,0,1,1,519,8,9.2,0.16,Sharp Cut Red Glass
RG665,2.77,0.91,1.54,3,3,0,1,1,527,8.1,9.4,0.17,Sharp Cut Red Glass
RG695,2.76,0.91,1.54,3,3,0,1,1,532,8.1,9.4,0.18,Sharp Cut Infrared-Transmitting Black Glass
RG715,2.76,0.91,1.53,3,3,0,1,1,532,8.1,9.4,0.18,Sharp Cut Infrared-Transmitting Black Glass
RG780,2.94,0.91,1.56,3,3,5,53.4,1.3,552,9.5,10.5,0.22,Sharp Cut Infrared-Transmitting Black Glass
RG830,2.94,0.91,1.56,3,3,5,53.4,1.3,554,9.5,10.5,0.23,Sharp Cut Infrared-Transmitting Black Glass
RG850,2.93,0.91,1.56,3,3,5,53.4,1.3,554,9.5,10.5,0.24,Sharp Cut Infrared-Transmitting Black Glass
RG1000,2.73,0.91,1.54,3,3,0,1,1,476,9,10.3,0.41,Infrared-Transmitting Black Glass
NG1,2.47,0.92,1.52,1,2,1,2.2,1,471,6.6,7.2,NaN,Neutral Density Glass
NG3,2.44,0.92,1.51,1,2,1,2.2,1,462,6.5,7.3,NaN,Neutral Density Glass
NG4,2.43,0.92,1.51,1,2,1,2.2,1,483,6.7,7.2,NaN,Neutral Density Glass
NG5,2.43,0.92,1.5,1,2,1,3.2,2,474,6.6,7.3,NaN,Neutral Density Glass
NG9,2.45,0.92,1.51,1,2,1,3.2,2,470,6.4,7.2,NaN,Neutral Density Glass
NG11,2.42,0.92,1.5,1,2,1,3.4,2,481,6.9,7.5,NaN,Neutral Density Glass
N-WG280,2.51,0.92,1.52,2,1,0,1,2,558,7.1,8.4,0.06,Colourless Glass with Sharp UV Cut
N-WG295,2.51,0.92,1.52,2,1,0,1,2,565,7.2,8.4,0.06,Colourless Glass with Sharp UV Cut
N-WG305,2.51,0.92,1.52,2,1,0,1,2,562,7.1,8.4,0.06,Colourless Glass with Sharp UV Cut
N-WG320,2.51,0.92,1.52,2,1,0,1,2,563,7.1,8.4,0.06,Colourless Glass with Sharp UV Cut
KG1,2.53,0.92,1.52,2,3,0,2,3,599,5.3,6.1,NaN,Heat Absorbing Glass
KG2,2.52,0.92,1.51,2,3,0,2,3,605,5.4,6.3,NaN,Heat Absorbing Glass
KG3,2.52,0.92,1.51,2,3,0,2,4,581,5.3,6.1,NaN,Heat Absorbing Glass
KG5,2.53,0.92,1.51,2,3,0,3,4,565,5.4,6.2,NaN,Heat Absorbing Glass
200,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
201,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
202,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
203,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
204,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
205,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
206,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
207,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
208,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
209,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
