Type,nd,ne,vd,ve,ColorCode,StressOpticCoeff,BubbleClass,ClimateResistCR,StainResistFR,AcidResistSR,AlkaliResistAR,PhosphateResistPR,Density,Tg,T13,T7p6,cp,ThermalConduct,CTEmin30plus70,CTEplus20plus300,YoungsMod,Poisson,KnoopHK,AbrasionHG,K,Glascode,Remarks,Date,RelPrice
 F2 ,1.62004,1.62408,36.37,36.11,35/32,2.81,0,1,0,1,2.3,1.3,3.60,434,430,594,0.557,0.78,8.2,9.2,57,0.22,420,2,2.81,620364.360,lead containing glass type,2007-02-22,1.6
 F5 ,1.60342,1.60718,38.03,37.77,35/32,2.92,0,1,0,1,2.3,2,3.47,438,425,608, , ,8,8.9,58,0.22,450,3,2.92,603380.347,lead containing glass type,2006-10-18,2.0
 K10 ,1.50137,1.50349,56.41,56.15,33/30,3.12,1,1,0,1,1,1.2,2.52,459,453,691,0.77,1.12,6.5,7.4,65,0.19,470,4,3.12,501564.252,lead containing glass type,2001-09-03,2.5
 K7 ,1.51112,1.51314,60.41,60.15,33/30,2.95,1,3,0,2,1,2.3,2.53,513, ,712, , ,8.4,9.7,69,0.214,520,3,2.95,511604.253,,2000-08-24,2.0
 KZFS12 ,1.69600,1.70055,36.29,36.06,40/35,2.35,1,4,1,53.3,4.3,4.3,3.84,492,476,549,0.54,0.71,5.18,6.22,66,0.279,440,4,2.35,696363.384,lead containing glass type,2002-04-29,NaN
 KZFSN5 ,1.65412,1.65803,39.63,39.40,37/34,2.89,1,3,2,52.3,4.3,4.3,3.46,501,479, , , ,4.5,5.7,65,0.275,460,5,2.89,654396.346,lead containing glass type,2000-05-18,3.0
 LAFN7 ,1.74950,1.75458,34.95,34.72,40/35,1.77,0,3,1,53.3,2.2,4.3,4.38,500,481,573, ,0.77,5.3,6.4,80,0.28,520,3,1.77,750350.438,lead containing glass type,2000-07-26,5.0
 LF5 ,1.58144,1.58482,40.85,40.57,34/31,2.83,1,2,0,1,2.3,2,3.22,419,411,585,0.657,0.866,9.1,10.6,59,0.223,450,2,2.83,581409.322,lead containing glass type,2000-05-19,2.0
 LLF1 ,1.54814,1.55099,45.75,45.47,33/31,3.05,1,1,0,1,2,1,2.94,431,426,628,0.65, ,8.1,9.2,60,0.208,450,3,3.05,548458.294,lead containing glass type,2004-02-02,2.5
 N-BAF10 ,1.67003,1.67341,47.11,46.83,39/35,2.37,1,1,0,4.3,1.3,1,3.75,660,652,790,0.56,0.78,6.18,7.04,89,0.271,620,4,2.37,670471.375, ,2002-02-19,3.0
 N-BAF4 ,1.60568,1.60897,43.72,43.43,39/35,2.58,1,1,0,1,1.2,1.3,2.89,580,580,709,0.74,1.02,7.24,8.29,85,0.231,610,3,2.58,606437.289, ,2001-09-03,4.0
 N-BAF51 ,1.65224,1.65569,44.96,44.67,39/34,2.22,1,2,0,5.4,1.3,1,3.33,569,574,712,0.84,0.67,8.37,9.49,91,0.262,560,5,2.22,652450.333,,2001-09-03,3.0
 N-BAF52 ,1.60863,1.61173,46.60,46.30,39/35,2.42,1,1,0,1,1.3,1,3.05,594,596,723,0.68,0.96,6.86,7.83,86,0.237,600,3,2.42,609466.305, ,2001-09-03,3.0
 N-BAK1 ,1.57250,1.57487,57.55,57.27,33/29,2.62,1,2,1,3.3,1.2,2,3.19,592,592,746,0.687,0.795,7.6,8.6,73,0.252,530,2,2.62,573576.319, ,2001-09-17,2.0
 N-BAK2 ,1.53996,1.54212,59.71,59.44,32/28,2.60,1,2,0,1,1,2.3,2.86,554,550,727,0.69,0.92,8,9,71,0.233,530,2,2.6,540597.286, ,2002-07-19,2.0
 N-BAK4 ,1.56883,1.57125,55.98,55.70,36/33,2.90,0,1,0,1.2,1,1,3.05,581,569,725,0.68,0.88,6.99,7.93,77,0.24,550,2,2.9,569560.305, ,2001-09-03,1.5
 N-BALF4 ,1.57956,1.58212,53.87,53.59,37/33,3.01,1,1,0,1,1,1,3.11,578,584,661,0.69,0.85,6.52,7.41,77,0.245,540,2,3.01,580539.311, ,2001-09-03,3.0
 N-BALF5 ,1.54739,1.54982,53.63,53.36,37/34,2.76,1,1,0,1,2,1,2.61,558,559,711,0.81,1.05,7.34,8.43,81,0.214,600,2,2.76,547536.261, ,2002-01-18,2.5
 N-BASF2 ,1.66446,1.66883,36.00,35.73,41/36,3.04,1,1,0,1,1,1,3.15,619,622,766,0.66,0.94,7.12,8.13,84,0.247,580,3,3.04,664360.315, ,2001-09-03,3.0
 N-BASF64 ,1.70400,1.70824,39.38,39.12,40/35,2.38,0,1,0,3.2,1.2,1,3.20,582,585,712, , ,7.3,8.7,105,0.264,650,4,2.38,704394.320, ,2001-09-03,3.0
 N-BK10 ,1.49782,1.49960,66.95,66.78,31/27,3.21,1,1,0,1,1,1,2.39,551, ,753,0.81,1.32,5.8,6.6,71,0.203,560,4,3.21,498670.239, ,2001-09-17,2.0
 N-BK7 ,1.51680,1.51872,64.17,63.96,33/29,2.77,0,1,0,1,2.3,2.3,2.51,557,557,719,0.858,1.114,7.1,8.3,82,0.206,610,3,2.77,517642.251, ,2007-09-19,1.0
 N-F2 ,1.62005,1.62408,36.43,36.16,39/36,3.03,1,1,0,1,1,1,2.65,569,567,686,0.81,1.05,7.84,9.06,82,0.228,600,2,3.03,620364.265, ,2005-10-28,2.0
