Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH010000.ZMX
Title: Ghost reflection off surface 10.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.407364
    0.400000     0.409322
    0.800000     0.410106
    1.200000     0.410106
    1.600000     0.408147
    2.000000     0.408931
    2.400000     0.410106
    2.800000     0.408931
    3.200000     0.408539
    3.600000     0.407756
    4.000000     0.408931
    4.400000     0.410497
    4.800000     0.409714
    5.200000     0.407756
    5.600000     0.410106
    6.000000     0.410889
    6.400000     0.409322
    6.800000     0.406972
    7.200000     0.408931
    7.600000     0.410106
    8.000000     0.410106
    8.400000     0.409322
    8.800000     0.409714
    9.200000     0.410106
    9.600000     0.410497
   10.000000     0.408931
