Vignetting Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\GH005000.ZMX
Title: Ghost reflection off surface 5.
Date : MON DEC 20 2004


Field values are in Millimeters
Values are fraction of rays which were not vignetted.
Rays traced at each field: 2553

       Field     Fraction
    0.000000     0.761065
    0.400000     0.762241
    0.800000     0.763024
    1.200000     0.761457
    1.600000     0.762241
    2.000000     0.763024
    2.400000     0.761065
    2.800000     0.761849
    3.200000     0.763416
    3.600000     0.761849
    4.000000     0.761457
    4.400000     0.763416
    4.800000     0.762241
    5.200000     0.761065
    5.600000     0.763416
    6.000000     0.763024
    6.400000     0.761849
    6.800000     0.763416
    7.200000     0.763416
    7.600000     0.761849
    8.000000     0.763024
    8.400000     0.763416
    8.800000     0.761849
    9.200000     0.763024
    9.600000     0.763807
   10.000000     0.762632
