Relative Illumination Data

File : C:\Projects\MZDDE\zmx\ExUSP5668671C.Narcissus\Primary.zmx
Title: Derived from U.S.Patent 5668671
Date : MON DEC 20 2004


Wavelength: 4.000000 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
See program documentation for a discussion of Effective F/#.

     Y Field	  Rel. Ill	 Effective F/#
    0.000000	  1.000000	      1.867333
    0.400000	  0.999869	      1.867455
    0.800000	  0.999478	      1.867821
    1.200000	  0.998825	      1.868431
    1.600000	  0.997912	      1.869285
    2.000000	  0.996741	      1.870384
    2.400000	  0.995311	      1.871726
    2.800000	  0.993625	      1.873313
    3.200000	  0.991685	      1.875145
    3.600000	  0.989492	      1.877222
    4.000000	  0.987049	      1.879544
    4.400000	  0.984758	      1.881729
    4.800000	  0.982220	      1.884159
    5.200000	  0.979437	      1.886833
    5.600000	  0.976413	      1.889753
    6.000000	  0.972756	      1.893302
    6.400000	  0.968867	      1.897097
    6.800000	  0.964751	      1.901140
    7.200000	  0.960411	      1.905431
    7.600000	  0.955853	      1.909969
    8.000000	  0.951079	      1.914756
    8.400000	  0.946096	      1.919792
    8.800000	  0.940908	      1.925077
    9.200000	  0.935899	      1.930222
    9.600000	  0.930692	      1.935614
   10.000000	  0.923851	      1.942768
